"",postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,id,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating
10,835,552,1311,39.7,4000,3136,864,0,520,32,0,41918,"268,277",62.9,21821,Coolalinga,NT,131.0415,-12.5231,,,Updated 3-Dec-2022,70103,Litchfield,701,Darwin,R1,-12.5242,131.042,70103103404,70103103408,701031034,Virginia,70103,Litchfield,701,Darwin,3,3,2,2,,47.0682983398438,NT1,PHN701,Northern Territory,Palmerston,72800,Lingiari,Rural
11,836,1348,3038,41.6,9793,8293,1500,0,1263,85,0,79945,"511,646",120,24061,GIRRAWEEN,NT,131.0962,-12.5255,,Delivery Area,Updated 3-Dec-2022,70103,Litchfield,701,Darwin,R1,-12.542319,131.157189,70103103204,70103103223,701031032,Humpty Doo,70103,Litchfield,701,Darwin,3,3,5,2,,,,,,Litchfield,72300,,
12,837,67,253,23.7,13139,402,232,12505,60,6,1,8113,"51,925",12.3,347,MANTON,NT,131.016647,-12.704767,,,Updated 3-Dec-2022,70103,Litchfield,701,Darwin,R1,-12.8316015,131.1604226,70103103506,70103103513,701031035,Weddell,70103,Litchfield,701,Darwin,3,3,5,5,,26.6997928619385,NT1,PHN701,Northern Territory,Litchfield,72300,Lingiari,Rural
13,838,141,388,33,1157,856,301,0,128,13,0,9796,"62,696",14.7,349,BERRY SPRINGS,NT,131.0067348,-12.71878122,,,Updated 3-Dec-2022,70103,Litchfield,701,Darwin,R1,-12.717408500000001,131.01923490000001,70103103503,70103103510,701031035,Weddell,70103,Litchfield,701,Darwin,3,3,2,2,,15.613958358764698,NT1,PHN701,Northern Territory,Litchfield,72300,Lingiari,Rural
14,839,34,393,5.3,1205,128,600,477,21,11,2,4218,"26,996",6.3,20065,COOLALINGA,NT,131.0402017,-12.52001124,,Delivery Area,Updated 3-Dec-2022,70103,Litchfield,701,Darwin,R1,-12.518864500000001,131.04066310000002,70103103404,70103103408,701031034,Virginia,70103,Litchfield,701,Darwin,3,3,2,2,,43.101921081543,NT1,PHN701,Northern Territory,Palmerston,72800,Lingiari,Rural
15,840,129,428,29.4,839,794,45,0,126,3,0,6546,"41,892",9.8,350,DUNDEE BEACH,NT,130.3529386,-12.72451307,,,Updated 3-Dec-2022,70203,Daly - Tiwi - West Arnhem,702,Northern Territory - Outback,R1,-12.7575418,130.39284840000002,70203105708,70203105708,702031057,Alligator,70203,Daly - Tiwi - West Arnhem,702,Northern Territory - Outback,4,4,6,6,,8.11834144592285,NT1,PHN701,Northern Territory,Belyuen,70540,Lingiari,Rural
16,841,86,323,22.9,927,516,411,0,74,12,0,9994,"63,963",15.2,353,DARWIN RIVER,NT,130.969862,-12.81922863,,,Updated 3-Dec-2022,70103,Litchfield,701,Darwin,R1,-12.8357379,130.97887749999998,70103103504,70103103515,701031035,Weddell,70103,Litchfield,701,Darwin,3,3,5,5,,,NT1,PHN701,Northern Territory,Palmerston,72800,Lingiari,Rural
17,845,84,279,24,25738,343,348,25047,67,15,2,7270,"46,528",11.1,354,BATCHELOR,NT,131.038475,-13.045117999999999,,,Updated 3-Dec-2022,70203,Daly - Tiwi - West Arnhem,702,Northern Territory - Outback,R1,-13.078501800000002,131.0625213,70203105711,70203105711,702031057,Alligator,70203,Daly - Tiwi - West Arnhem,702,Northern Territory - Outback,4,4,6,6,,122.881401062012,NT1,PHN701,Northern Territory,Coomalie,70700,Lingiari,Rural
18,846,51,256,18,343,239,104,0,46,5,0,0,0,0,355,ADELAIDE RIVER,NT,131.095002,-13.210299,,,Updated 3-Dec-2022,70203,Daly - Tiwi - West Arnhem,702,Northern Territory - Outback,R1,-13.1748284,131.14013490000002,70203105711,70203105711,702031057,Alligator,70203,Daly - Tiwi - West Arnhem,702,Northern Territory - Outback,4,4,6,6,,63.035072326660206,NT1,PHN701,Northern Territory,Coomalie,70700,Lingiari,Rural
19,847,24,273,7.7,283,125,158,0,21,3,0,0,0,0,356,PINE CREEK,NT,131.759154,-14.012122,,,Updated 3-Dec-2022,70203,Daly - Tiwi - West Arnhem,702,Northern Territory - Outback,R1,-13.8380256,131.8004409,70203105803,70203105803,702031058,Daly,70203,Daly - Tiwi - West Arnhem,702,Northern Territory - Outback,4,4,6,6,,200.976379394531,NT1,PHN701,Northern Territory,Katherine,72200,Lingiari,Rural
20,850,906,3298,25,41615,4605,2979,34031,823,81,2,77527,"496,170",123.1,20066,COSSACK,NT,132.17210409999998,-14.46369137,Katherine,Delivery Area,Updated 3-Dec-2022,70205,Katherine,702,Northern Territory - Outback,R1,-14.5052,132.19299999999998,70205106712,70205106712,702051067,Katherine,70205,Katherine,702,Northern Territory - Outback,4,4,6,6,,137.011566162109,NT1,PHN701,Northern Territory,Katherine,72200,Lingiari,Rural
21,852,284,3326,6,4654,1082,2478,1094,201,80,3,8261,"52,870",12.8,20071,ARNOLD,NT,130.84186609999998,-16.4525888,Katherine,Delivery Area,Updated 3-Dec-2022,70205,Katherine,702,Northern Territory - Outback,R1,-16.4713,134.287,70205106508,70205106508,702051065,Elsey,70205,Katherine,702,Northern Territory - Outback,5,5,7,7,,97.4471206665039,NT1,PHN701,Northern Territory,Victoria Daly,74550,Lingiari,Rural
22,853,2,190,0.5,53,3,50,0,1,1,0,14440,"92,418",22.8,20112,TINDAL,NT,132.37912169999998,-14.53113365,Northern Territory Country 1,Delivery Area,Updated 3-Dec-2022,70205,Katherine,702,Northern Territory - Outback,R1,-14.5473,132.374,70205106717,70205106717,702051067,Katherine,70205,Katherine,702,Northern Territory - Outback,4,4,6,6,,138.497604370117,NT1,PHN701,Northern Territory,Katherine,72200,Lingiari,Rural
23,854,17,329,3.3,234,60,174,0,11,6,0,5539,"35,452",8.7,378,BORROLOOLA,NT,136.42419099999998,-16.503809,,,Updated 3-Dec-2022,70205,Katherine,702,Northern Territory - Outback,R1,-16.068446100000003,136.3097128,70205106601,70205106601,702051066,Gulf,70205,Katherine,702,Northern Territory - Outback,5,5,7,7,,121.54807281494101,NT1,PHN701,Northern Territory,Roper Gulf,73600,Lingiari,Rural
24,860,150,1214,11.1,1086,711,375,0,135,15,0,29800,"190,721",48.9,380,TENNANT CREEK,NT,134.173599,-19.641301000000002,,,Updated 3-Dec-2022,70202,Barkly,702,Northern Territory - Outback,R1,-19.657389600000002,134.1815176,70202105608,70202105608,702021056,Tennant Creek,70202,Barkly,702,Northern Territory - Outback,5,5,7,7,,,NT1,PHN701,Northern Territory,Barkly,70420,Lingiari,Rural
25,862,59,699,5.3,590,201,389,0,37,22,0,0,0,0,383,AVON DOWNS,NT,134.463153,-18.251528,,,Updated 3-Dec-2022,70205,Katherine,702,Northern Territory - Outback,R1,-20.0303016,137.49052749999998,70202105502,70202105502,702021055,Barkly,70202,Barkly,702,Northern Territory - Outback,5,5,7,7,,203.781051635742,NT1,PHN701,Northern Territory,Barkly,70420,Lingiari,Rural
26,870,2829,9172,28.9,20584,12726,6014,1844,2650,173,6,179322,"1,147,661",294.6,396,ALICE SPRINGS,NT,133.86314,-23.702291,,,Updated 3-Dec-2022,70201,Alice Springs,702,Northern Territory - Outback,R1,-23.698042,133.88074709999998,70201104510,70201104510,702011045,Charles,70201,Alice Springs,702,Northern Territory - Outback,4,4,6,6,,576.998474121094,NT1,PHN701,Northern Territory,Alice Springs,70200,Lingiari,Rural
27,872,274,5145,3.3,7674,825,2698,4151,172,92,10,734,"4,696",1.2,398,AHERRENGE,NT,131.298809,-21.949513,,,Updated 3-Dec-2022,70202,Barkly,702,Northern Territory - Outback,R1,-21.6721,135.232,70201105209,70201105209,702011052,Sandover - Plenty,70201,Alice Springs,702,Northern Territory - Outback,5,5,7,7,,311.383880615234,NT1,PHN701,Northern Territory,Central Desert,70620,Lingiari,Rural
28,873,157,1851,7.9,1485,917,270,298,146,10,1,32502,"208,015",53.1,20193,AMOONGUNA,NT,133.9050112,-23.74471408,,Delivery Area,Updated 3-Dec-2022,70202,Barkly,702,Northern Territory - Outback,R1,-23.7638,133.929,70201105203,70201105203,702011052,Sandover - Plenty,70201,Alice Springs,702,Northern Territory - Outback,4,4,6,6,,546.230285644531,NT1,PHN701,Northern Territory,Alice Springs,70200,Lingiari,Rural
29,874,21,303,6.6,161,121,40,0,20,1,0,3646,"23,336",6,20199,IRLPME,NT,133.86475910000001,-23.64690294,,Delivery Area,Updated 3-Dec-2022,,,,,R1,-23.6407,133.866,70201104813,70201104813,702011048,Larapinta,70201,Alice Springs,702,Northern Territory - Outback,4,4,6,6,,612.377380371094,NT1,PHN701,Northern Territory,Alice Springs,70200,Lingiari,
30,875,164,1024,15.2,1133,894,239,0,156,8,0,13650,"87,362",22.3,20202,FLYNN,NT,133.8354205,-23.71350386,,Delivery Area,Updated 3-Dec-2022,,,,,R1,-23.7208,133.865,70201104701,70201104701,702011047,Flynn (NT),70201,Alice Springs,702,Northern Territory - Outback,4,4,6,6,,635.180114746094,NT1,PHN701,Northern Territory,Alice Springs,70200,Lingiari,Rural
31,880,29,1678,0.9,931,45,451,435,15,13,1,0,0,0,20204,GAPUWIYAK,NT,135.79542859999998,-12.50557433,Northern Territory Country 4,Delivery Area,Updated 3-Dec-2022,70204,East Arnhem,702,Northern Territory - Outback,R1,-12.5032,135.806,70204106303,70204106303,702041063,East Arnhem,70204,East Arnhem,702,Northern Territory - Outback,5,5,7,7,,7.18359804153442,NT1,PHN701,Northern Territory,East Arnhem,71300,Lingiari,Rural
32,885,24,348,2,772,44,728,0,7,17,0,0,0,0,20207,ALYANGULA,NT,136.420066,-13.85078586,Northern Territory Country 4,Delivery Area,Updated 3-Dec-2022,70204,East Arnhem,702,Northern Territory - Outback,R1,-13.8529,136.422,70204106202,70204106202,702041062,Anindilyakwa,70204,East Arnhem,702,Northern Territory - Outback,5,5,7,7,,21.4030857086182,NT1,PHN701,Northern Territory,East Arnhem,71300,Lingiari,Rural
33,886,12,604,0.7,8622,21,151,8450,4,7,1,10849,"69,436",16.6,457,JABIRU,NT,132.56337299999998,-13.131179999999999,,,Updated 3-Dec-2022,70203,Daly - Tiwi - West Arnhem,702,Northern Territory - Outback,R1,-12.668835099999999,132.8345405,70203105712,70203105712,702031057,Alligator,70203,Daly - Tiwi - West Arnhem,702,Northern Territory - Outback,4,4,6,6,,,NT1,PHN701,Northern Territory,West Arnhem,74660,Lingiari,Rural
34,2000,66,821,2.8,2677,99,1556,1022,23,40,3,56265,"360,097",72.1,20208,BARANGAROO,NSW,151.2015802,-33.86051951,Sydney Metro,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8638,151.202,11703133727,11703133727,117031337,Sydney - Haymarket - The Rocks,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,,N1,PHN101,Central and Eastern Sydney,Sydney,17200,Sydney,Inner Metropolitan
35,2007,31,288,7.3,440,82,358,0,21,10,0,16683,"106,772",21.4,4490,BROADWAY,NSW,151.19665,-33.883189,BROADWAY POST SHOP,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8842554,151.1982225,11703133427,11703133453,117031334,Pyrmont - Ultimo,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,,N1,PHN101,Central and Eastern Sydney,Sydney,17200,Sydney,Inner Metropolitan
36,2008,99,1253,6.1,939,275,664,0,77,22,0,19225,"123,041",24.7,4492,CHIPPENDALE,NSW,151.193858,-33.891146,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8863,151.1999,11703133528,11703133528,117031335,Redfern - Chippendale,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,23.646982192993196,N1,PHN101,Central and Eastern Sydney,Sydney,17200,Sydney,Inner Metropolitan
37,2009,27,676,1.9,1667,50,662,955,13,11,3,18489,"118,330",23.8,4495,DARLING ISLAND,NSW,151.19305500000002,-33.871221999999996,Sydney Metro,,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8649,151.196,11703133411,11703133411,117031334,Pyrmont - Ultimo,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,6.3694562911987305,N1,PHN101,Central and Eastern Sydney,Sydney,17200,Sydney,Inner Metropolitan
38,2010,224,4212,4.4,1641,718,923,0,187,37,0,55246,"353,576",71.1,4497,DARLINGHURST,NSW,151.212262,-33.884119,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.87801760000001,151.22044409999998,11703132922,11703132922,117031329,Darlinghurst,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,,N1,PHN101,Central and Eastern Sydney,Sydney,17200,Wentworth,Inner Metropolitan
39,2011,58,1609,2.1,863,129,734,0,34,24,0,27559,"176,379",35.7,4500,ELIZABETH BAY,NSW,151.22162600000001,-33.873599,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.87143,151.22841,11703133331,11703133331,117031333,Potts Point - Woolloomooloo,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,32.6687850952148,N1,PHN101,Central and Eastern Sydney,Sydney,17200,Wentworth,Inner Metropolitan
40,2015,315,1882,11.4,6458,900,4036,1522,215,96,4,111985,"716,707",144.7,4508,ALEXANDRIA,NSW,151.194825,-33.910105,ALEXANDRIA DF,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.9080273,151.1902576,11703133018,11703133018,117031330,Erskineville - Alexandria,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,10.655048370361301,N1,PHN101,Central and Eastern Sydney,Sydney,17200,Sydney,Inner Metropolitan
41,2016,161,2135,6.6,1313,522,507,284,141,19,1,25204,"161,303",32.4,4511,REDFERN,NSW,151.206211,-33.894912,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.892215,151.205873,11703133536,11703133536,117031335,Redfern - Chippendale,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,34.336433410644496,N1,PHN101,Central and Eastern Sydney,Sydney,17200,Sydney,Inner Metropolitan
42,2017,112,1282,5.9,1662,324,1338,0,76,36,0,38899,"248,954",50,4512,WATERLOO,NSW,151.206316,-33.903892,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.9002604,151.2061803,11703133836,11703133836,117031338,Waterloo - Beaconsfield,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,23.6328830718994,N1,PHN101,Central and Eastern Sydney,Sydney,17200,Sydney,Inner Metropolitan
43,2018,494,2772,15.7,3251,2012,1239,0,436,58,0,55474,"355,036",71.4,4514,EASTLAKES,NSW,151.202697,-33.9233,ALEXANDRIA DF,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.9219899,151.20733,11703133826,11703133826,117031338,Waterloo - Beaconsfield,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Kingsford Smith,17.0219821929932,N1,PHN101,Central and Eastern Sydney,Sydney,17200,Sydney,Inner Metropolitan
44,2019,491,2432,16,4952,1766,3186,0,390,101,0,111059,"710,774",145.9,4516,BANKSMEADOW,NSW,151.207285,-33.946923,ALEXANDRIA DF,Delivery Area,Updated 6-Feb-2020,11701,Botany,117,Sydney - City and Inner South,R1,-33.95731,151.20699,11701132001,11701132001,117011320,Banksmeadow,11701,Botany,117,Sydney - City and Inner South,1,1,1,1,Kingsford Smith,,N1,PHN101,Central and Eastern Sydney,Randwick,16550,Barton,
45,2020,436,2236,17,4364,1688,1967,709,380,54,2,89051,"569,928",113.3,4518,MASCOT,NSW,151.176775,-33.936178999999996,ALEXANDRIA DF,Delivery Area,Updated 6-Feb-2020,11702,Marrickville - Sydenham - Petersham,117,Sydney - City and Inner South,R1,-33.929632399999996,151.19462230000002,11701132209,11701132209,117011322,Mascot - Eastlakes,11701,Botany,117,Sydney - City and Inner South,1,1,1,1,Kingsford Smith,,N1,PHN101,Central and Eastern Sydney,Bayside,10500,Sydney,
46,2021,290,4536,5.7,1942,1091,851,0,258,32,0,40176,"257,127",51.8,4521,CENTENNIAL PARK,NSW,151.227236,-33.895705,Sydney Metro,,Updated 6-Feb-2020,11802,Eastern Suburbs - South,118,Sydney - Eastern Suburbs,R1,-33.8943,151.233,11801134201,11801134201,118011342,Centennial Park,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1,1,1,1,Wentworth,,N1,PHN101,Central and Eastern Sydney,Sydney,17200,Wentworth,Inner Metropolitan
47,2022,351,2569,12.5,1987,1457,530,0,322,29,0,33800,"216,322",43.5,4524,BONDI JUNCTION,NSW,151.245049,-33.896401000000004,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,R1,-33.89145,151.2497,11801134114,11801134114,118011341,Bondi Junction - Waverly,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1,1,1,1,Wentworth,,N1,PHN101,Central and Eastern Sydney,Waverley,18050,Wentworth,Inner Metropolitan
48,2023,320,1713,13.7,2516,1254,1262,0,234,86,0,32095,"205,406",41.4,4527,BELLEVUE HILL,NSW,151.25591,-33.884685,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,R1,-33.882695500000004,151.2539627,11801134313,11801134313,118011343,Double Bay - Bellevue Hill,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1,1,1,1,Wentworth,98.4378204345703,N1,PHN101,Central and Eastern Sydney,Waverley,18050,Wentworth,Inner Metropolitan
49,2024,473,2213,18.6,3223,1933,1290,0,412,61,0,27898,"178,548",35.9,4528,BRONTE,NSW,151.259392,-33.904414,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,R1,-33.90532,151.26068999999998,11801133904,11801133904,118011339,Bondi - Tamarama - Bronte,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1,1,1,1,Wentworth,73.60057067871091,N1,PHN101,Central and Eastern Sydney,Waverley,18050,Wentworth,Inner Metropolitan
50,2025,171,1730,8.6,1127,743,384,0,149,22,0,20893,"133,716",26.9,4531,WOOLLAHRA,NSW,151.240508,-33.888709999999996,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,R1,-33.8865002,151.2437606,11801134705,11801134705,118011347,Woollahra,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1,1,1,1,Wentworth,,N1,PHN101,Central and Eastern Sydney,Woollahra,18500,Wentworth,Inner Metropolitan
51,2026,739,3876,17,4295,3095,1200,0,657,82,0,61928,"396,340",79.8,4532,BEN BUCKLER,NSW,151.268968,-33.891040999999994,Sydney Metro,,Updated 6-Feb-2020,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,R1,-33.8898,151.283,11801134033,11801134033,118011340,Bondi Beach - North Bondi,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1,1,1,1,Wentworth,,N1,PHN101,Central and Eastern Sydney,Waverley,18050,Wentworth,Inner Metropolitan
52,2027,94,826,9.2,690,368,322,0,76,18,0,18381,"117,640",23.7,4537,DARLING POINT,NSW,151.250494,-33.868972,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,R1,-33.87021,151.23746,11801134303,11801134303,118011343,Double Bay - Bellevue Hill,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1,1,1,1,Wentworth,,N1,PHN101,Central and Eastern Sydney,Woollahra,18500,Wentworth,Inner Metropolitan
53,2028,77,596,9.6,677,293,384,0,57,20,0,13647,"87,338",17.6,4541,DOUBLE BAY,NSW,151.240965,-33.878413,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,R1,-33.8775,151.2412,11801134356,11801134356,118011343,Double Bay - Bellevue Hill,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1,1,1,1,Wentworth,16.5498008728027,N1,PHN101,Central and Eastern Sydney,Woollahra,18500,Wentworth,Inner Metropolitan
54,2029,233,1325,14,1619,941,678,0,185,48,0,26894,"172,120",34.6,4542,ROSE BAY,NSW,151.266989,-33.875709,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,R1,-33.875420899999995,151.265623,11801134620,11801134620,118011346,Rose Bay - Vaucluse - Watsons Bay,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1,1,1,1,Wentworth,7.879352569580081,N1,PHN101,Central and Eastern Sydney,Woollahra,18500,Wentworth,Inner Metropolitan
55,2030,570,3521,12.7,4223,2279,1944,0,447,123,0,52119,"333,559",67.3,4543,DIAMOND BAY,NSW,151.275977,-33.858378,Sydney Metro,,Updated 6-Feb-2020,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,R1,-33.8611,151.28,11801134401,11801134401,118011344,Dover Heights,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1,1,1,1,Wentworth,,N1,PHN101,Central and Eastern Sydney,Woollahra,18500,Wentworth,Inner Metropolitan
56,2031,898,5209,15.5,5560,3726,1834,0,806,92,0,92295,"590,691",119.1,4549,CLOVELLY,NSW,151.23916699999998,-33.914832000000004,CLOVELLY WEST LPO,Delivery Area,Updated 6-Feb-2020,11802,Eastern Suburbs - South,118,Sydney - Eastern Suburbs,R1,-33.9121,151.2629,11802134803,11802134803,118021348,Coogee - Clovelly,11802,Eastern Suburbs - South,118,Sydney - Eastern Suburbs,1,1,1,1,Kingsford Smith,66.2736740112305,N1,PHN101,Central and Eastern Sydney,Randwick,16550,Wentworth,Inner Metropolitan
